MONTHS_AS_CUSTOMER,AGE,POLICY_STATE,POLICY_CSL,POLICY_DEDUCTIBLE,POLICY_ANNUAL_PREMIUM,UMBRELLA_LIMIT,INSURED_SEX,INSURED_EDUCATION_LEVEL,INSURED_OCCUPATION,INSURED_RELATIONSHIP,POLICY_TENURE_MONTHS,POLICY_BIND_YEAR,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES_CONTACTED,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,NUMBER_OF_VEHICLES_INVOLVED,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT_AVAILABLE,CAPITAL_GAINS,CAPITAL_LOSS,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,CLAIM_TO_PREMIUM_RATIO,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,VEHICLE_AGE,INCIDENT_YEAR,INCIDENT_MONTH,SEVERITY_SCORE,FRAUD_FLAG
208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,other-relative,176,2000,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,0,0,50500,10100,5050,35350,43.78,Accura,TL,2004,11,2015,2,4,0
279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,237,1995,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,0,0,57690,6410,12820,38460,45.03,Mercedes,C300,2010,5,2015,1,3,1
244,40,IL,100/300,500,1342.80,0,FEMALE,MD,sales,husband,104,2006,Vehicle Theft,,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,0,0,5940,660,660,4620,4.42,Toyota,Camry,2014,1,2015,2,2,0
134,30,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,unmarried,88,2007,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,,0,2,YES,0,0,47790,5310,5310,37170,33.11,Suburu,Impreza,1995,20,2015,1,3,1
122,29,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,279,1991,Parked Car,,Trivial Damage,None,SC,Riverwood,17,1,,0,1,NO,0,-47100,3850,350,350,3150,2.36,Dodge,Neon,2014,1,2015,2,2,0
156,31,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,husband,221,1996,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,,2,0,,0,0,59000,5900,5900,47200,52.02,Ford,Fusion,2013,2,2015,2,3,1
232,43,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,164,2001,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,,0,-33600,70600,7060,14120,49420,47.58,Volkswagen,Passat,2013,2,2015,1,3,1
244,40,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,other-relative,185,1999,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,,1,1,,0,-45000,61490,5590,11180,44720,47.13,Dodge,RAM,2001,14,2015,1,1,0
84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,wife,139,2003,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,44400,-51500,57640,5240,10480,41920,55.65,Volkswagen,Passat,2010,5,2015,1,1,0
394,57,IL,250/500,500,1401.20,0,FEMALE,High School,craft-repair,own-child,190,1999,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,51500,0,6890,1060,1060,4770,4.92,Audi,A5,1999,16,2015,1,2,0
246,45,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,wife,191,1999,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,,2,2,,34400,-33100,53280,11840,5920,35520,31.99,Toyota,Camry,2006,9,2015,1,3,1
35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,42,2011,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,,52100,-46900,78300,15660,7830,54810,119.79,BMW,X5,2009,6,2015,2,1,0
156,37,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,other-relative,55,2010,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,0,-61000,41490,4610,4610,32270,38.41,Nissan,Pathfinder,2001,14,2015,1,3,0
195,36,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,wife,159,2001,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,57800,-53300,68970,12540,6270,50160,51.23,Chevrolet,Tahoe,2007,8,2015,2,4,0
369,55,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,husband,21,2013,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,,2,0,YES,55400,0,85300,17060,8530,59710,53.66,Toyota,Highlander,2003,12,2015,1,1,0
271,40,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,wife,230,1995,Parked Car,,Minor Damage,None,NY,Hillsdale,6,1,NO,0,0,NO,71200,0,3080,560,280,2240,2.46,Audi,A3,2012,3,2015,2,1,0
332,47,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,other-relative,278,1991,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,,91900,0,71760,11040,11040,49680,66.26,Jeep,Grand Cherokee,2010,5,2015,1,3,1
107,26,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,wife,8,2014,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,,1,0,NO,62800,0,59700,11940,11940,35820,61.26,Nissan,Ultima,2002,13,2015,1,1,0
217,39,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,other-relative,274,1992,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,,49900,-19800,64920,10820,10820,43280,46.38,Ford,Fusion,1997,18,2015,1,1,0
243,43,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,own-child,107,2006,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,,0,1,NO,0,-75700,37530,4170,4170,29190,28.70,Jeep,Wrangler,2008,7,2015,1,3,0
296,42,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,husband,143,2003,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,53100,-63400,64080,7120,7120,49840,52.56,Saab,93,2012,3,2015,2,4,0
264,41,OH,100/300,500,1411.30,0,MALE,PhD,prof-specialty,unmarried,148,2002,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,,55600,0,60390,10980,5490,43920,42.79,BMW,M5,2004,11,2015,2,1,1
108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,not-in-family,300,1990,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,,0,1,YES,0,0,64350,5850,11700,46800,92.66,Nissan,Pathfinder,2011,4,2015,1,3,1
32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,own-child,59,2010,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,0,0,70900,14180,7090,49630,70.42,BMW,X6,1997,18,2015,2,1,0
259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,unmarried,232,1995,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,,0,-83900,46560,7760,7760,31040,32.73,Nissan,Ultima,2012,3,2015,1,1,0
186,33,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,wife,59,2010,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,,37600,-37600,4730,860,860,3010,3.51,Chevrolet,Malibu,2013,2,2015,1,2,1
201,40,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,not-in-family,278,1991,Vehicle Theft,,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,0,0,6820,1240,1240,4340,5.18,Jeep,Grand Cherokee,2003,12,2015,2,1,0
436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,other-relative,153,2002,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,,0,2,,47400,-27600,59900,11980,5990,41930,42.57,BMW,X5,1997,18,2015,1,3,1
189,36,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,own-child,94,2007,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,,1,3,YES,0,-49400,79560,13260,13260,53040,57.30,Ford,Escape,2009,6,2015,2,3,0
105,33,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,not-in-family,223,1996,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,,0,-40900,70290,12780,6390,51120,53.63,Accura,MDX,2008,7,2015,2,4,0
163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,not-in-family,153,2002,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,26900,0,63910,5810,11620,46480,63.62,Suburu,Forrestor,1999,16,2015,1,4,0
219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,not-in-family,99,2006,Vehicle Theft,,Trivial Damage,None,SC,Riverwood,6,1,,1,0,NO,68700,0,6400,640,640,5120,5.64,Toyota,Camry,1997,18,2015,1,2,0
88,25,IN,250/500,1000,1194.00,0,FEMALE,JD,handlers-cleaners,husband,88,2007,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,0,0,66780,7420,7420,51940,55.93,Ford,Escape,2013,2,2015,2,3,1
40,39,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,own-child,167,2001,Parked Car,,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,,0,-33300,8760,1460,1460,5840,7.02,BMW,3 Series,2013,2,2015,2,1,0
284,42,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,wife,236,1995,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,,0,0,94160,8560,17120,68480,70.35,Chevrolet,Malibu,1996,19,2015,1,3,0
59,40,IL,250/500,2000,782.23,0,MALE,College,protective-serv,other-relative,41,2011,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,,0,2,NO,64200,-32300,51570,5730,11460,34380,65.93,BMW,X5,2010,5,2015,2,4,0
39,31,IL,250/500,2000,1366.90,0,FEMALE,High School,handlers-cleaners,husband,144,2003,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,,1,0,NO,0,-15700,52700,10540,10540,31620,38.55,BMW,X6,2014,1,2015,1,3,1
147,34,IL,500/1000,1000,1275.81,0,MALE,High School,sales,wife,47,2011,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,,0,-48300,101010,15540,15540,69930,79.17,Mercedes,ML350,1998,17,2015,1,1,0
156,37,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,unmarried,263,1993,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,,1,2,YES,0,-51800,53400,5340,5340,42720,48.96,Honda,Civic,2010,5,2015,1,1,1
123,31,IN,250/500,500,1326.00,0,FEMALE,Associate,prof-specialty,wife,114,2005,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,,1,2,NO,0,-54600,72120,12020,12020,48080,54.39,Mercedes,ML350,2009,6,2015,2,4,0
231,43,IL,250/500,2000,972.47,0,MALE,College,protective-serv,wife,104,2006,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,0,-58100,77100,7710,15420,53970,79.28,Audi,A3,2010,5,2015,2,1,0
247,39,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,wife,254,1993,Parked Car,,Trivial Damage,Police,SC,Northbend,3,1,,2,3,,0,0,3300,600,0,2700,4.09,Dodge,RAM,2003,12,2015,2,2,0
194,35,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,not-in-family,35,2012,Parked Car,,Minor Damage,None,WV,Northbend,7,1,YES,1,0,,0,0,5940,1080,540,4320,4.19,Nissan,Pathfinder,2003,12,2015,2,1,0
119,27,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,other-relative,210,1997,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,,27100,0,63720,7080,21240,35400,58.05,Accura,TL,2006,9,2015,2,3,0
259,43,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,not-in-family,67,2009,Vehicle Theft,,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,0,-39300,7680,1280,640,5760,8.10,Audi,A5,2008,7,2015,2,2,0
107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,own-child,242,1994,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,,20000,-82700,93730,14420,21630,57680,92.01,Honda,CRV,2001,14,2015,1,4,0
48,44,IL,100/300,2000,1400.74,0,MALE,College,sales,other-relative,215,1997,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,YES,0,2,,34000,-55600,87300,17460,17460,52380,62.32,Jeep,Wrangler,2013,2,2015,1,3,0
267,40,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,wife,63,2009,Parked Car,,Trivial Damage,Police,NY,Columbus,5,1,,0,2,NO,0,-35200,5670,1260,630,3780,4.91,Ford,F150,1997,18,2015,1,2,0
286,47,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,husband,146,2002,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,YES,0,0,NO,54100,-77600,65800,13160,6580,46060,47.44,Accura,TL,2001,14,2015,1,1,0
175,34,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,wife,237,1995,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,,2,1,YES,82400,-57100,36720,4080,4080,28560,40.12,Honda,Accord,2009,6,2015,2,3,1
111,29,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,own-child,48,2011,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,,1,1,YES,0,0,52800,4800,9600,38400,42.60,Mercedes,ML350,1996,19,2015,1,3,1
151,37,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,unmarried,28,2012,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,44000,0,59100,5910,5910,47280,43.25,Nissan,Maxima,1998,17,2015,2,4,1
156,37,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,unmarried,279,1991,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,,1,1,YES,0,-53800,77440,14080,7040,56320,71.28,Suburu,Legacy,1999,16,2015,1,4,0
165,36,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,husband,51,2010,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,20,3,NO,2,2,NO,0,-39700,45700,4570,4570,36560,36.62,BMW,3 Series,2008,7,2015,1,4,0
253,41,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,other-relative,21,2013,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,10,3,NO,2,2,YES,81300,0,80740,7340,14680,58720,61.50,Toyota,Camry,2014,1,2015,1,3,1
10,26,IN,100/300,2000,765.64,0,MALE,MD,sales,not-in-family,80,2008,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,3,3,,0,3,,0,-22200,31350,2850,5700,22800,40.95,Honda,Accord,2001,14,2015,2,3,1
158,33,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,other-relative,13,2013,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,,0,0,,0,-38600,35000,3500,7000,24500,26.37,Suburu,Legacy,2012,3,2015,1,4,0
436,59,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,own-child,53,2010,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,10,3,,2,2,NO,39000,0,68000,13600,6800,47600,50.80,Toyota,Corolla,2014,1,2015,1,4,0
91,30,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,unmarried,55,2010,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,13,3,YES,2,0,,43900,0,84500,13000,13000,58500,64.18,BMW,X6,2009,6,2015,1,1,0
256,42,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,wife,273,1992,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,14,1,NO,2,1,,0,-39500,75500,7550,15100,52850,58.69,Nissan,Ultima,1998,17,2015,1,1,0
274,46,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,not-in-family,215,1997,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,22,3,NO,1,3,,0,0,90600,15100,15100,60400,66.03,BMW,X5,2009,6,2015,1,4,0
275,45,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,wife,277,1991,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,8,3,YES,1,1,,39400,-63900,64320,5360,10720,48240,44.43,Accura,MDX,1998,17,2015,1,4,0
1,33,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,not-in-family,232,1995,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,,1,0,,0,0,31700,6340,3170,22190,35.09,Toyota,Highlander,2006,9,2015,1,1,0
85,30,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,other-relative,255,1993,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,YES,0,1,YES,51600,-73900,74280,12380,12380,49520,51.07,Suburu,Forrestor,2006,9,2015,1,3,1
233,37,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,wife,279,1991,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,YES,0,2,YES,61600,-30200,80520,13420,6710,60390,50.22,Toyota,Corolla,2005,10,2015,2,4,0
142,30,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,husband,151,2002,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,13,3,YES,0,3,YES,58500,-46800,63600,6360,12720,44520,39.34,Dodge,RAM,2010,5,2015,2,3,0
266,44,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,husband,181,1999,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,4,1,,1,2,YES,0,0,32800,3280,3280,26240,20.35,BMW,3 Series,2012,3,2015,1,4,0
350,50,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,other-relative,115,2005,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,14,3,NO,0,2,NO,0,0,44190,9820,4910,29460,49.70,Audi,A3,2015,0,2015,2,4,0
97,26,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,not-in-family,279,1991,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,4,2,YES,2,2,NO,0,0,50400,10080,5040,35280,40.25,Honda,CRV,2000,15,2015,2,3,1
399,55,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,not-in-family,262,1993,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,23,3,YES,1,1,YES,0,-65400,88400,17680,8840,61880,88.79,Nissan,Pathfinder,2010,5,2015,2,4,0
305,49,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,own-child,66,2009,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,21,3,YES,0,2,,0,-42100,66550,12100,6050,48400,49.37,Volkswagen,Jetta,2003,12,2015,2,4,0
276,47,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,own-child,259,1993,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,23,3,YES,0,0,,0,0,65780,5980,11960,47840,38.15,Chevrolet,Tahoe,2014,1,2015,1,1,0
257,40,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,husband,31,2012,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6,3,,0,2,YES,0,0,51810,9420,4710,37680,37.55,Audi,A3,2002,13,2015,2,3,1
78,31,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,own-child,193,1999,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,21,1,NO,1,0,NO,0,-27900,55660,5060,10120,40480,35.80,Honda,CRV,2009,6,2015,2,3,1
129,28,OH,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,not-in-family,300,1990,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,,2,3,,0,0,44640,9920,4960,29760,32.40,Toyota,Camry,2005,10,2015,2,3,0
283,46,IL,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,husband,173,2000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,3,3,,1,3,NO,53500,-73600,77660,7060,14120,56480,59.13,Nissan,Maxima,2004,11,2015,1,3,1
85,25,IN,250/500,500,1259.02,0,FEMALE,JD,tech-support,unmarried,77,2008,Parked Car,,Trivial Damage,None,SC,Northbend,8,1,NO,2,2,,67000,-53600,5640,940,940,3760,4.48,Nissan,Ultima,2005,10,2015,2,2,0
101,26,IL,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,husband,282,1991,Parked Car,,Trivial Damage,None,VA,Arlington,4,1,,2,2,,0,0,3190,580,580,2030,2.33,Suburu,Legacy,1995,20,2015,2,2,0
96,30,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,wife,161,2001,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,22,1,,0,0,YES,38900,-48700,53440,0,6680,46760,38.19,Ford,Escape,2004,11,2015,2,4,0
121,31,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,unmarried,95,2007,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,16,1,NO,0,1,YES,0,0,65250,7250,7250,50750,61.44,BMW,3 Series,2002,13,2015,2,1,0
176,39,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,unmarried,51,2010,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,14,3,NO,2,1,NO,0,-56600,44280,4920,4920,34440,32.43,Chevrolet,Silverado,2008,7,2015,2,1,0
159,37,IL,500/1000,1000,894.40,0,MALE,Associate,tech-support,wife,197,1998,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,YES,2,0,NO,0,-53700,70290,7810,7810,54670,78.59,Dodge,RAM,1999,16,2015,1,4,0
120,30,IN,250/500,500,956.69,0,FEMALE,Associate,priv-house-serv,husband,151,2002,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,20,1,,1,1,YES,39600,-64300,87100,8710,8710,69680,91.04,Saab,92x,2000,15,2015,2,1,0
212,35,IN,500/1000,2000,1123.89,0,MALE,MD,priv-house-serv,unmarried,297,1990,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,0,3,,1,3,,35400,-49200,50380,4580,4580,41220,44.83,Suburu,Forrestor,1996,19,2015,1,4,0
290,45,IL,100/300,500,1085.03,0,FEMALE,JD,sales,wife,205,1998,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,23,3,YES,2,2,NO,0,-61000,64800,12960,6480,45360,59.72,Audi,A3,2014,1,2015,3,4,1
299,42,OH,100/300,2000,1437.33,0,FEMALE,Associate,craft-repair,wife,79,2008,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,13,1,YES,1,3,NO,25000,0,70400,12800,12800,44800,48.98,BMW,3 Series,2000,15,2015,2,1,0
66,26,IL,250/500,1000,988.29,0,MALE,College,armed-forces,own-child,195,1998,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8,1,,2,2,YES,0,0,57860,0,10520,47340,58.55,Suburu,Impreza,2008,7,2015,2,3,1
334,47,IL,500/1000,500,1238.89,0,MALE,Masters,protective-serv,other-relative,164,2001,Vehicle Theft,,Minor Damage,None,WV,Northbend,3,1,,0,3,NO,0,0,6240,960,960,4320,5.04,Ford,Fusion,2011,4,2015,1,1,0
216,38,IN,100/300,1000,1384.64,5000000,FEMALE,Associate,tech-support,unmarried,7,2014,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,16,1,,2,3,NO,0,0,66600,16650,11100,38850,48.10,Jeep,Grand Cherokee,2012,3,2015,1,4,1
86,28,IN,100/300,2000,1595.07,0,MALE,PhD,transport-moving,unmarried,282,1991,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,19,1,YES,0,2,YES,75800,0,70920,11820,11820,47280,44.46,Jeep,Wrangler,2002,13,2015,2,1,0
429,56,OH,250/500,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,own-child,193,1998,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,0,1,YES,2,0,YES,67400,-43800,39480,6580,6580,26320,35.00,Suburu,Forrestor,2002,13,2015,1,1,0
257,43,IN,500/1000,2000,929.70,6000000,FEMALE,PhD,handlers-cleaners,husband,191,1999,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,12,1,,2,2,YES,46400,-74300,63240,10540,5270,47430,68.02,Mercedes,E400,2005,10,2015,1,4,0
15,34,IL,100/300,1000,1829.63,0,MALE,JD,tech-support,not-in-family,208,1997,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,21,3,YES,1,0,,56700,0,67650,12300,6150,49200,36.97,Audi,A5,2009,6,2015,2,4,0
230,39,IL,100/300,1000,904.70,7000000,FEMALE,MD,craft-repair,unmarried,183,1999,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,0,1,,1,3,NO,68600,-22300,74200,14840,14840,44520,82.02,Accura,TL,2002,13,2015,2,3,1
250,43,OH,500/1000,1000,1243.84,0,FEMALE,JD,tech-support,own-child,18,2013,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,22,1,YES,1,3,NO,47900,-73400,64900,12980,12980,38940,52.18,Volkswagen,Jetta,2011,4,2015,1,1,0
270,44,IL,500/1000,2000,1030.95,0,FEMALE,Associate,machine-op-inspct,other-relative,139,2003,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,20,3,,1,0,NO,47200,0,35900,7180,3590,25130,34.82,Audi,A3,2007,8,2015,2,3,1
65,26,IN,100/300,500,1285.03,3000000,FEMALE,High School,craft-repair,unmarried,113,2005,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,0,1,NO,1,3,,0,-41500,52200,5220,10440,36540,40.62,Honda,CRV,2011,4,2015,2,1,0
